,price
336,1264.0
337,336.0
338,7372.0
339,713.0
340,1249.0
341,5233.0
342,1046.0
343,552.0
344,698.0
345,974.0
346,589.0
347,10580.0
348,3968.0
349,7506.0
350,5484.0
351,8580.0
352,521.0
353,12485.0
354,1548.0
355,917.0
356,7943.0
357,4440.0
358,442.0
359,5042.0
360,1110.0
361,880.0
362,3321.0
363,1436.0
364,487.0
365,14047.0
366,6787.0
367,696.0
368,789.0
369,2602.0
370,4326.0
371,11595.0
372,2289.0
373,2306.0
374,11883.0
375,2294.0
376,5846.0
377,5084.0
378,13135.0
379,1069.0
380,11508.0
381,693.0
382,658.0
383,840.0
384,786.0
385,3641.0
386,7812.0
387,4751.0
388,1867.0
389,4247.0
390,871.0
391,1274.0
392,3648.0
393,6834.0
394,3482.0
395,5538.0
396,2585.0
397,608.0
398,4576.0
399,6702.0
400,3429.0
401,11231.0
402,4360.0
403,1722.0
404,734.0
405,863.0
406,13919.0
407,5205.0
408,1189.0
409,11649.0
410,1358.0
411,7822.0
412,4558.0
413,4434.0
414,612.0
415,2307.0
416,612.0
417,526.0
418,3787.0
419,2808.0
420,5555.0
421,5759.0
422,4764.0
423,1292.0
424,1257.0
425,833.0
426,1111.0
427,1605.0
428,1008.0
429,13421.0
430,1079.0
431,1422.0
432,957.0
433,11589.0
434,3271.0
435,4672.0
436,11189.0
437,827.0
438,642.0
439,9908.0
440,10180.0
441,554.0
442,4424.0
443,914.0
444,5125.0
445,8442.0
446,1253.0
447,11524.0
448,524.0
449,2005.0
450,6922.0
451,16709.0
452,4144.0
453,2582.0
454,4968.0
455,1791.0
456,6774.0
457,810.0
458,971.0
459,3372.0
460,1755.0
461,8427.0
462,872.0
463,4586.0
464,3669.0
465,1235.0
466,9185.0
467,6928.0
468,530.0
469,990.0
470,703.0
471,758.0
472,6894.0
473,512.0
474,878.0
475,10214.0
476,13088.0
477,1612.0
478,1631.0
479,3014.0
480,1439.0
481,6121.0
482,905.0
483,828.0
484,5824.0
485,2387.0
486,4204.0
487,703.0
488,561.0
489,894.0
490,1925.0
491,625.0
492,2968.0
493,3295.0
494,564.0
495,3210.0
496,17689.0
497,1002.0
498,7817.0
499,1684.0
500,531.0
501,942.0
502,706.0
503,7946.0
504,3219.0
505,12061.0
506,854.0
507,5502.0
508,2321.0
509,4510.0
510,6093.0
511,16626.0
512,8011.0
513,948.0
514,5537.0
515,1656.0
516,862.0
517,6460.0
518,6748.0
519,1659.0
520,1607.0
521,15323.0
522,3535.0
523,3750.0
524,5140.0
525,5331.0
526,3816.0
527,4082.0
528,8109.0
529,574.0
530,696.0
531,11040.0
532,1055.0
533,966.0
534,1595.0
535,1367.0
536,10099.0
537,1723.0
538,470.0
539,680.0
540,7459.0
541,720.0
542,1000.0
543,1710.0
544,10431.0
545,698.0
546,16075.0
547,6936.0
548,4598.0
549,506.0
550,864.0
551,2505.0
552,17116.0
553,2002.0
554,4558.0
555,2211.0
556,4304.0
557,6965.0
558,7859.0
559,878.0
560,11463.0
561,658.0
562,2968.0
563,741.0
564,6272.0
565,1030.0
566,5012.0
567,1601.0
568,4153.0
569,17659.0
570,3998.0
571,911.0
572,3415.0
573,616.0
574,665.0
575,8298.0
576,5387.0
577,2312.0
578,2141.0
579,854.0
580,574.0
581,9836.0
582,3720.0
583,18419.0
584,949.0
585,3183.0
586,2052.0
587,7283.0
588,1851.0
589,4021.0
590,1441.0
591,10349.0
592,2276.0
593,10051.0
594,16256.0
595,1438.0
596,1974.0
597,1025.0
598,10084.0
599,4513.0
600,2726.0
601,837.0
602,793.0
603,541.0
604,4839.0
605,658.0
606,1438.0
607,3334.0
608,1776.0
609,604.0
610,5864.0
611,1063.0
612,596.0
613,1250.0
614,462.0
615,536.0
616,5358.0
617,3026.0
618,684.0
619,638.0
620,1919.0
621,1582.0
622,4588.0
623,909.0
624,5657.0
625,3271.0
626,4211.0
627,7594.0
628,2348.0
629,7965.0
630,4521.0
631,475.0
632,2144.0
633,13543.0
634,787.0
635,2415.0
636,1776.0
637,2058.0
638,2347.0
639,4004.0
640,8758.0
641,2365.0
642,18127.0
643,854.0
644,692.0
645,829.0
646,5335.0
647,3519.0
648,449.0
649,2163.0
650,1746.0
651,2586.0
652,1705.0
653,2174.0
654,1102.0
655,503.0
656,3240.0
657,489.0
658,1389.0
659,1229.0
660,2409.0
661,3376.0
662,11588.0
663,1410.0
664,1704.0
665,7528.0
666,2251.0
667,9461.0
668,4764.0
669,13820.0
670,895.0
671,844.0
672,3136.0
673,6438.0
674,608.0
675,4823.0
676,2375.0
677,2398.0
678,4682.0
679,17118.0
680,5592.0
681,4842.0
682,1061.0
683,880.0
684,7862.0
685,6397.0
686,4588.0
687,1120.0
688,2062.0
689,6532.0
690,4185.0
691,4200.0
692,6441.0
693,3136.0
694,1024.0
695,1712.0
696,2964.0
697,2298.0
698,18791.0
699,4399.0
700,1041.0
701,3127.0
702,572.0
703,3783.0
704,1873.0
705,9451.0
706,945.0
707,1580.0
708,15110.0
709,4616.0
710,5387.0
711,1094.0
712,2396.0
713,4476.0
714,813.0
715,5786.0
716,5855.0
717,1063.0
718,842.0
719,8996.0
720,434.0
721,753.0
722,693.0
723,7862.0
724,15942.0
725,5561.0
726,14256.0
727,12257.0
728,663.0
729,3662.0
730,906.0
731,4434.0
732,757.0
733,1090.0
734,2293.0
735,5868.0
736,878.0
737,582.0
738,1184.0
739,3351.0
740,957.0
741,953.0
742,3223.0
743,2834.0
744,1020.0
745,477.0
746,3998.0
747,2349.0
748,7848.0
749,5407.0
750,810.0
751,689.0
752,3345.0
753,715.0
754,1033.0
755,3932.0
756,2610.0
757,4229.0
758,880.0
759,5488.0
760,1395.0
761,10577.0
762,4625.0
763,2275.0
764,2818.0
765,5551.0
766,3500.0
767,816.0
768,3172.0
769,1015.0
770,2859.0
771,2765.0
772,772.0
773,4372.0
774,1369.0
775,447.0
776,1286.0
777,2190.0
778,871.0
779,1709.0
780,2743.0
781,778.0
782,593.0
783,12642.0
784,4453.0
785,2328.0
786,1080.0
787,574.0
788,1192.0
789,1044.0
790,675.0
791,891.0
792,737.0
793,1010.0
794,7310.0
795,551.0
796,2870.0
797,597.0
798,2703.0
799,806.0
800,828.0
801,12897.0
802,1842.0
803,2016.0
804,4212.0
805,4268.0
806,7486.0
807,5049.0
808,1431.0
809,2319.0
810,3181.0
811,8317.0
812,3057.0
813,9756.0
814,695.0
815,984.0
816,3724.0
817,666.0
818,846.0
819,4855.0
820,4056.0
821,2516.0
822,1349.0
823,1629.0
824,6120.0
825,13182.0
826,3662.0
827,8820.0
828,1599.0
829,3839.0
830,587.0
831,975.0
832,2235.0
833,842.0
834,974.0
835,2522.0
836,4559.0
837,2346.0
838,4839.0
839,2947.0
840,10728.0
841,9681.0
842,4276.0
843,4502.0
844,449.0
845,3471.0
846,702.0
847,7392.0
848,5988.0
849,426.0
850,9996.0
851,7924.0
852,1395.0
853,4468.0
854,814.0
855,776.0
856,10824.0
857,1115.0
858,2421.0
859,1107.0
860,4434.0
861,12257.0
862,8647.0
863,7732.0
864,517.0
865,6468.0
866,6714.0
867,3941.0
868,5063.0
869,2766.0
870,605.0
871,12409.0
872,11209.0
873,1438.0
874,878.0
875,2724.0
876,7748.0
877,1626.0
878,6512.0
879,855.0
880,5413.0
881,6818.0
882,8533.0
883,3142.0
884,3154.0
885,1219.0
886,1977.0
887,1624.0
888,1148.0
889,5938.0
890,10333.0
891,454.0
892,730.0
893,923.0
894,13486.0
895,2744.0
896,4472.0
897,2682.0
898,3084.0
899,1205.0
900,713.0
901,4578.0
902,1691.0
903,5256.0
904,3093.0
905,4769.0
906,6309.0
907,439.0
908,4197.0
909,3921.0
910,567.0
911,4944.0
912,16130.0
913,8233.0
914,10471.0
915,6438.0
916,1097.0
917,953.0
918,6272.0
919,3818.0
920,435.0
921,615.0
922,6468.0
923,895.0
924,1662.0
925,705.0
926,5924.0
927,1125.0
928,544.0
929,2207.0
930,732.0
931,7318.0
932,7352.0
933,1114.0
934,1749.0
935,1749.0
936,2845.0
937,1793.0
938,1059.0
939,3411.0
940,15792.0
941,10453.0
942,9735.0
943,1353.0
944,648.0
945,844.0
946,830.0
947,3951.0
948,2662.0
949,3868.0
950,1696.0
951,813.0
952,3140.0
953,8874.0
954,1656.0
955,841.0
956,14691.0
957,3445.0
958,1116.0
959,4186.0
960,11175.0
961,1359.0
962,568.0
963,655.0
964,12810.0
965,5148.0
966,4351.0
967,3906.0
968,7953.0
969,1040.0
970,3945.0
971,5806.0
972,12377.0
973,1754.0
974,4127.0
975,798.0
976,563.0
977,11312.0
978,968.0
979,7728.0
980,758.0
981,3444.0
982,1200.0
983,14407.0
984,5352.0
985,2956.0
986,2536.0
987,2550.0
988,4315.0
989,1141.0
990,709.0
991,988.0
992,3880.0
993,4855.0
994,1708.0
995,6261.0
996,2184.0
997,5690.0
998,3130.0
999,706.0
1000,4149.0
1001,847.0
1002,810.0
1003,953.0
1004,17433.0
1005,4224.0
1006,7485.0
1007,5763.0
1008,4520.0
1009,605.0
1010,5167.0
1011,7598.0
1012,9425.0
1013,6272.0
1014,4368.0
1015,12030.0
1016,816.0
1017,1839.0
1018,9484.0
1019,744.0
1020,8012.0
1021,449.0
1022,1116.0
1023,3300.0
1024,491.0
1025,6502.0
1026,5973.0
1027,1354.0
1028,868.0
1029,1792.0
1030,2011.0
1031,1212.0
1032,4662.0
1033,2476.0
1034,1423.0
1035,5018.0
1036,4612.0
1037,10308.0
1038,4129.0
1039,642.0
1040,1698.0
1041,18559.0
1042,883.0
1043,13393.0
1044,1195.0
1045,2160.0
1046,16793.0
1047,2581.0
1048,2197.0
1049,3403.0
1050,628.0
1051,1263.0
1052,5807.0
1053,802.0
1054,488.0
1055,2205.0
1056,851.0
1057,921.0
1058,561.0
1059,1758.0
1060,561.0
1061,5953.0
1062,5301.0
1063,4688.0
1064,423.0
1065,945.0
1066,16087.0
1067,2680.0
1068,541.0
1069,1061.0
1070,4559.0
1071,5942.0
1072,3965.0
1073,825.0
1074,8778.0
1075,1949.0
1076,7240.0
1077,6058.0
1078,921.0
1079,1349.0
1080,2816.0
1081,1902.0
1082,776.0
1083,3009.0
1084,1449.0
1085,8975.0
1086,6108.0
1087,969.0
1088,705.0
1089,4295.0
1090,1257.0
1091,2294.0
1092,720.0
1093,625.0
1094,1781.0
1095,2274.0
1096,3919.0
1097,3808.0
1098,9828.0
1099,4851.0
1100,8782.0
1101,7423.0
1102,11477.0
1103,846.0
1104,18508.0
1105,4018.0
1106,984.0
1107,683.0
1108,868.0
1109,6199.0
1110,7932.0
1111,15007.0
1112,4304.0
1113,803.0
1114,589.0
1115,12978.0
1116,4323.0
1117,4107.0
1118,15143.0
1119,600.0
1120,4274.0
1121,10990.0
1122,1418.0
1123,2735.0
1124,3605.0
1125,3629.0
1126,1677.0
1127,1657.0
1128,13777.0
1129,12060.0
1130,12655.0
1131,982.0
1132,7240.0
1133,622.0
1134,805.0
1135,14279.0
1136,3311.0
1137,814.0
1138,1080.0
1139,3920.0
1140,16545.0
1141,17955.0
1142,11333.0
1143,974.0
1144,544.0
1145,2134.0
1146,3924.0
1147,649.0
1148,4052.0
1149,7617.0
1150,907.0
1151,1013.0
1152,4939.0
1153,2010.0
1154,1605.0
1155,4541.0
1156,871.0
1157,4330.0
1158,663.0
1159,1395.0
1160,2232.0
1161,918.0
1162,661.0
1163,1241.0
1164,13827.0
1165,1911.0
1166,11284.0
1167,2271.0
1168,522.0
1169,798.0
1170,3989.0
1171,694.0
1172,3664.0
1173,4795.0
1174,961.0
1175,662.0
1176,2258.0
1177,549.0
1178,8737.0
1179,491.0
1180,1436.0
1181,876.0
1182,1408.0
1183,15152.0
1184,462.0
1185,3222.0
1186,2742.0
1187,3438.0
1188,1950.0
1189,8543.0
1190,1307.0
1191,4698.0
1192,1193.0
1193,3742.0
1194,6509.0
1195,2214.0
1196,9474.0
1197,4805.0
1198,486.0
1199,8830.0
1200,898.0
1201,684.0
1202,3495.0
1203,610.0
1204,3036.0
1205,3749.0
1206,2345.0
1207,664.0
1208,1637.0
1209,1073.0
1210,11531.0
1211,5627.0
1212,633.0
1213,8529.0
1214,9046.0
1215,2398.0
1216,2901.0
1217,7075.0
1218,720.0
1219,8915.0
1220,10562.0
1221,12778.0
1222,1816.0
1223,4861.0
1224,2553.0
1225,880.0
1226,711.0
1227,2482.0
1228,3998.0
1229,1031.0
1230,537.0
1231,7106.0
1232,4412.0
1233,10453.0
1234,3858.0
1235,544.0
1236,1094.0
1237,4084.0
1238,6773.0
1239,3672.0
1240,2343.0
1241,4612.0
1242,526.0
1243,487.0
1244,10019.0
1245,4018.0
1246,9138.0
1247,2093.0
1248,703.0
1249,3951.0
1250,515.0
1251,2817.0
1252,1087.0
1253,6976.0
1254,3145.0
1255,4029.0
1256,773.0
1257,1582.0
1258,2150.0
1259,13474.0
1260,4608.0
1261,4265.0
1262,2258.0
1263,1608.0
1264,4838.0
1265,754.0
1266,1134.0
1267,7900.0
1268,705.0
1269,1400.0
1270,698.0
1271,926.0
1272,5717.0
1273,2206.0
1274,698.0
1275,13596.0
1276,1066.0
1277,724.0
1278,761.0
1279,13884.0
1280,775.0
1281,3088.0
1282,4939.0
1283,1356.0
1284,6874.0
1285,1369.0
1286,4324.0
1287,5649.0
1288,6925.0
1289,4202.0
1290,2810.0
1291,1002.0
1292,491.0
1293,2200.0
1294,14673.0
1295,1369.0
1296,12336.0
1297,3927.0
1298,4926.0
1299,575.0
1300,6438.0
1301,2308.0
1302,838.0
1303,556.0
1304,4562.0
1305,1752.0
1306,588.0
1307,3317.0
1308,851.0
1309,1910.0
1310,7575.0
1311,994.0
1312,605.0
1313,3026.0
1314,8293.0
1315,11226.0
1316,7411.0
1317,3145.0
1318,5260.0
1319,4188.0
1320,1202.0
1321,1041.0
1322,4762.0
1323,5226.0
1324,499.0
1325,8779.0
1326,696.0
1327,1415.0
1328,1546.0
1329,2583.0
1330,446.0
1331,7672.0
1332,5407.0
1333,558.0
1334,10443.0
1335,12210.0
1336,2190.0
1337,15974.0
1338,526.0
1339,4598.0
1340,5620.0
1341,10761.0
1342,7477.0
1343,544.0
1344,378.0
1345,3507.0
1346,4623.0
1347,3323.0
1348,4616.0
1349,7495.0
1350,5174.0
1351,6563.0
1352,883.0
1353,1040.0
1354,492.0
1355,8095.0
1356,2089.0
1357,2511.0
1358,8392.0
1359,10203.0
1360,5860.0
1361,837.0
1362,2344.0
1363,2623.0
1364,14611.0
1365,12631.0
1366,8194.0
1367,6539.0
1368,2092.0
1369,6271.0
1370,1292.0
1371,4060.0
1372,992.0
1373,2646.0
1374,1094.0
1375,5765.0
1376,3669.0
1377,1440.0
1378,886.0
1379,6517.0
1380,1934.0
1381,723.0
1382,755.0
1383,15948.0
1384,544.0
1385,2435.0
1386,7990.0
1387,4123.0
1388,6533.0
1389,5260.0
1390,5554.0
1391,1007.0
1392,550.0
1393,4887.0
1394,3265.0
1395,1131.0
1396,16364.0
1397,752.0
1398,2573.0
1399,1659.0
1400,5014.0
1401,1812.0
1402,675.0
1403,3892.0
1404,17192.0
1405,4851.0
1406,3417.0
1407,779.0
1408,9057.0
1409,709.0
1410,1125.0
1411,900.0
1412,3669.0
1413,6046.0
1414,10080.0
1415,706.0
1416,11430.0
1417,596.0
1418,12261.0
1419,1071.0
1420,526.0
1421,710.0
1422,492.0
1423,1317.0
1424,1088.0
1425,391.0
1426,552.0
1427,2032.0
1428,1082.0
1429,552.0
1430,815.0
1431,893.0
1432,430.0
1433,1770.0
1434,702.0
1435,5466.0
1436,5645.0
1437,4172.0
1438,2789.0
1439,8584.0
1440,5759.0
1441,1046.0
1442,5096.0
1443,3303.0
1444,6539.0
1445,4585.0
1446,16803.0
1447,5058.0
1448,6509.0
1449,5254.0
1450,13367.0
1451,4459.0
1452,12247.0
1453,4333.0
1454,2364.0
1455,17856.0
1456,9894.0
1457,1026.0
1458,3301.0
1459,2332.0
1460,1150.0
1461,1631.0
1462,5755.0
1463,823.0
1464,6108.0
1465,11524.0
1466,4413.0
1467,1142.0
1468,4749.0
1469,1150.0
1470,4540.0
1471,754.0
1472,2241.0
1473,1776.0
1474,508.0
1475,3508.0
1476,961.0
1477,7240.0
1478,1963.0
1479,3382.0
1480,4253.0
1481,3363.0
1482,4510.0
1483,2298.0
1484,403.0
1485,1032.0
1486,7233.0
1487,1073.0
1488,4029.0
1489,3720.0
1490,7443.0
1491,675.0
1492,16378.0
1493,7123.0
1494,662.0
1495,17153.0
1496,2670.0
1497,4560.0
1498,3442.0
1499,1179.0
1500,7885.0
1501,1318.0
1502,2401.0
1503,1875.0
1504,4504.0
1505,1240.0
1506,427.0
1507,3898.0
1508,4740.0
1509,961.0
1510,4053.0
1511,1035.0
1512,11765.0
1513,8614.0
1514,4790.0
1515,2168.0
1516,5125.0
1517,847.0
1518,4344.0
1519,3380.0
1520,5547.0
1521,7198.0
1522,408.0
1523,900.0
1524,3754.0
1525,558.0
1526,880.0
1527,7900.0
1528,759.0
1529,15246.0
1530,3547.0
1531,4463.0
1532,16512.0
1533,4502.0
1534,485.0
1535,7217.0
1536,943.0
1537,5255.0
1538,2574.0
1539,2351.0
1540,15092.0
1541,2277.0
1542,1155.0
1543,589.0
1544,7964.0
1545,448.0
1546,407.0
1547,4193.0
1548,14579.0
1549,10424.0
1550,825.0
1551,622.0
1552,829.0
1553,1415.0
1554,4092.0
1555,2979.0
1556,15829.0
1557,3284.0
1558,1400.0
1559,816.0
1560,3285.0
1561,979.0
1562,7088.0
1563,698.0
1564,936.0
1565,573.0
1566,3394.0
1567,645.0
1568,7806.0
1569,698.0
1570,1363.0
1571,10357.0
1572,12261.0
1573,698.0
1574,2700.0
1575,1111.0
1576,5088.0
1577,5644.0
1578,8767.0
1579,1404.0
1580,13929.0
1581,658.0
1582,3991.0
1583,2214.0
1584,2160.0
1585,815.0
1586,730.0
1587,558.0
1588,3280.0
1589,3603.0
1590,1974.0
1591,7504.0
1592,4327.0
1593,12840.0
1594,1316.0
1595,5871.0
1596,544.0
1597,3561.0
1598,2138.0
1599,884.0
1600,462.0
1601,791.0
1602,1243.0
1603,988.0
1604,8065.0
1605,3880.0
1606,734.0
1607,7523.0
1608,5525.0
1609,8358.0
1610,2387.0
1611,1155.0
1612,377.0
1613,2818.0
1614,421.0
1615,680.0
1616,851.0
1617,1760.0
1618,411.0
1619,895.0
1620,3876.0
1621,5813.0
1622,5452.0
1623,1276.0
1624,2834.0
1625,1814.0
1626,417.0
1627,552.0
1628,515.0
1629,834.0
1630,433.0
1631,15064.0
1632,6987.0
1633,1697.0
1634,5094.0
1635,791.0
1636,8020.0
1637,500.0
1638,834.0
1639,4642.0
1640,4438.0
1641,593.0
1642,2316.0
1643,3158.0
1644,15239.0
1645,1877.0
1646,10650.0
1647,1073.0
1648,2288.0
1649,916.0
1650,7744.0
1651,743.0
1652,1221.0
1653,8029.0
1654,5096.0
1655,2399.0
1656,3584.0
1657,12059.0
1658,2550.0
1659,7891.0
1660,2376.0
1661,9513.0
1662,17153.0
1663,4112.0
1664,6033.0
1665,2473.0
1666,844.0
1667,7219.0
1668,2196.0
1669,3250.0
1670,16469.0
1671,2198.0
1672,8377.0
1673,960.0
1674,13621.0
1675,3161.0
1676,770.0
1677,1168.0
1678,929.0
1679,933.0
1680,2907.0
1681,3734.0
1682,5621.0
1683,6442.0
1684,630.0
1685,6266.0
1686,4566.0
1687,7588.0
1688,633.0
1689,12012.0
1690,2264.0
1691,2442.0
1692,1103.0
1693,6814.0
1694,793.0
1695,626.0
1696,8457.0
1697,5657.0
1698,13219.0
1699,4855.0
1700,402.0
1701,3616.0
1702,851.0
1703,17723.0
1704,906.0
1705,2160.0
1706,9037.0
1707,14065.0
1708,12291.0
1709,777.0
1710,548.0
1711,1241.0
1712,719.0
1713,2473.0
1714,2623.0
1715,4469.0
1716,6132.0
1717,489.0
1718,492.0
1719,4419.0
1720,4078.0
1721,2037.0
1722,4234.0
1723,13254.0
1724,1974.0
1725,2058.0
1726,687.0
1727,1273.0
1728,2789.0
1729,3053.0
1730,1068.0
1731,6861.0
1732,581.0
1733,10808.0
1734,446.0
1735,2104.0
1736,2096.0
1737,720.0
1738,865.0
1739,1395.0
1740,3806.0
1741,4455.0
1742,2258.0
1743,5817.0
1744,3220.0
1745,2839.0
1746,3389.0
1747,446.0
1748,1436.0
1749,1223.0
1750,965.0
1751,969.0
1752,10763.0
1753,2495.0
1754,5612.0
1755,4897.0
1756,1084.0
1757,772.0
1758,930.0
1759,1789.0
1760,816.0
1761,790.0
1762,516.0
1763,789.0
1764,1600.0
1765,4588.0
1766,2928.0
1767,2168.0
1768,5385.0
1769,4631.0
1770,6186.0
1771,596.0
1772,3308.0
1773,10859.0
1774,740.0
1775,4732.0
1776,5932.0
1777,827.0
1778,473.0
1779,7877.0
1780,576.0
1781,7356.0
1782,5451.0
1783,671.0
1784,725.0
1785,987.0
1786,886.0
1787,981.0
1788,1580.0
1789,5283.0
1790,10777.0
1791,633.0
1792,8979.0
1793,900.0
1794,949.0
1795,571.0
1796,12539.0
1797,589.0
1798,1035.0
1799,6563.0
1800,1030.0
1801,4672.0
1802,5217.0
1803,6750.0
1804,3338.0
1805,612.0
1806,844.0
1807,4054.0
1808,2346.0
1809,776.0
1810,14130.0
1811,2599.0
1812,1040.0
1813,2375.0
1814,467.0
1815,5818.0
1816,4232.0
1817,956.0
1818,4558.0
1819,5600.0
1820,1043.0
1821,1169.0
1822,739.0
1823,2369.0
1824,734.0
1825,14372.0
1826,698.0
1827,2737.0
1828,3082.0
1829,4685.0
1830,810.0
1831,545.0
1832,540.0
1833,814.0
1834,698.0
1835,9784.0
1836,6180.0
1837,878.0
1838,8176.0
1839,3445.0
1840,5739.0
1841,626.0
1842,628.0
1843,872.0
1844,15874.0
1845,3864.0
1846,552.0
1847,862.0
1848,1412.0
1849,11047.0
1850,4304.0
1851,3845.0
1852,2574.0
1853,2422.0
1854,4743.0
1855,14348.0
1856,814.0
1857,645.0
1858,1666.0
1859,3089.0
1860,9664.0
1861,417.0
1862,17605.0
1863,11524.0
1864,6618.0
1865,4347.0
1866,871.0
1867,484.0
1868,5012.0
1869,662.0
1870,827.0
1871,810.0
1872,3616.0
1873,16937.0
1874,2276.0
1875,4137.0
1876,16506.0
1877,8366.0
1878,1333.0
1879,2724.0
1880,868.0
1881,12105.0
1882,4135.0
1883,766.0
1884,11818.0
1885,15701.0
1886,871.0
1887,1107.0
1888,3009.0
1889,2695.0
1890,2138.0
1891,16512.0
1892,768.0
1893,368.0
1894,910.0
1895,505.0
1896,758.0
1897,4200.0
1898,912.0
1899,5358.0
1900,6782.0
1901,6435.0
1902,1654.0
1903,961.0
1904,5398.0
1905,4209.0
1906,562.0
1907,2915.0
1908,760.0
1909,13298.0
1910,3229.0
1911,1155.0
1912,1577.0
1913,1548.0
1914,966.0
1915,14068.0
1916,2487.0
1917,605.0
1918,10888.0
1919,11925.0
1920,2565.0
1921,4442.0
1922,1731.0
1923,1581.0
1924,1882.0
1925,847.0
1926,603.0
1927,579.0
1928,903.0
1929,1013.0
1930,2904.0
1931,1213.0
1932,719.0
1933,765.0
1934,2074.0
1935,591.0
1936,2372.0
1937,1229.0
1938,4284.0
1939,1586.0
